X,Y,pk_uid,uuid,road,carriagew0,lane,km,wegvak,bearing,wegbeheer0
6.00999696701463,51.175877753243,12732,2292a177-9bd8-46ea-a04d-4069c321d4a8,A73,L,2,16.296000,600458046,233.240090,RWS Zuid-Nederland
5.15521104816106,52.3337689945993,12733,"0bf6b41c-a624-44c9-a01c-90f0d5db11b0",A6,L,1,45.785000,280367029,231.530100,RWS Midden-Nederland
5.86744232611207,51.1143927648098,12734,9ad29b0d-636f-4486-8a18-0f2e6544efc5,A2,L,3,223.100000,376094004,43.976797,RWS Zuid-Nederland
4.47709536448393,52.048065588969,12735,32dd57a7-0b0c-40d1-8e4f-45d2e71c2ba3,A12,L,2,13.565000,600115553,276.595410,RWS West-Nederland Zuid
5.29975830057575,52.2204997558141,12736,"02dba42f-a076-4f9f-a6f9-3bcf091bf4bc",A1,L,2,34.100000,600134398,289.122710,RWS Midden-Nederland
4.99518736295953,52.1550148106336,12737,d965fc7a-f7af-439d-b823-8f3d85030abd,A2,L,5,51.627000,600125828,337.279820,RWS Midden-Nederland
4.96466845361188,52.5599940344832,12738,557c2a35-ead8-4223-b555-f0d2296d92c0,A7,L,1,20.340000,600125529,200.734900,RWS West-Nederland Noord
5.07468993487193,52.0888126381474,12739,154e30b5-25c2-4d38-8031-350b606531c5,A2,L,1,61.135000,600127264,344.945420,RWS Midden-Nederland
4.95387831904828,52.2792342441605,12740,"0615e61b-650c-42a0-bfa9-9566f56db1a1",A2,L,6,37.314000,600125915,334.425470,RWS West-Nederland Noord
4.53377306056855,52.0379500515264,12741,1ad91e27-92cf-48ec-8e29-909c4736aefc,A12,L,1,17.650000,600114764,287.820790,RWS West-Nederland Zuid
5.0592087095303,52.1062372992118,12742,"06f89ac2-7c8b-4f5c-89ae-7ff78e367e21",A2,L,1,58.911000,600127264,318.021520,RWS Midden-Nederland
4.58861118385698,51.8637275656301,12743,720df4b6-4ee4-49e1-a582-9eef67ba74c4,A16,L,2,26.480000,600112603,314.426450,RWS West-Nederland Zuid
